,model,x,f,e
102,"2-layer, baseline",-0.11875,0.23923749,0.15473837
103,"2-layer, baseline",-0.11249999999999999,0.22403288,0.14580107
104,"2-layer, baseline",-0.10624999999999998,0.20919314,0.13694242
105,"2-layer, baseline",-0.09999999999999998,0.19470516,0.12816542
106,"2-layer, baseline",-0.09375,0.18055603,0.11947221
107,"2-layer, baseline",-0.0875,0.16673258,0.11087068
108,"2-layer, baseline",-0.08124999999999999,0.15322235,0.1023618
109,"2-layer, baseline",-0.07499999999999998,0.14001298,0.09395577
110,"2-layer, baseline",-0.06874999999999998,0.12709247,0.08564354
111,"2-layer, baseline",-0.0625,0.11444983,0.0774361
112,"2-layer, baseline",-0.056249999999999994,0.10207455,0.069337025
113,"2-layer, baseline",-0.04999999999999999,0.0899577,0.061343484
114,"2-layer, baseline",-0.04374999999999998,0.07809222,0.053464152
115,"2-layer, baseline",-0.03749999999999998,0.06647445,0.045693006
116,"2-layer, baseline",-0.03125,0.055106964,0.038042143
117,"2-layer, baseline",-0.024999999999999994,0.044005416,0.030504469
118,"2-layer, baseline",-0.01874999999999999,0.033218794,0.02308254
119,"2-layer, baseline",-0.012499999999999983,0.022901248,0.015782194
120,"2-layer, baseline",-0.006249999999999978,0.013679228,0.008599096
121,"2-layer, baseline",0.0,0.0089515075,0.001551939
122,"2-layer, baseline",0.006250000000000033,0.013894588,0.005410993
123,"2-layer, baseline",0.012500000000000011,0.022722688,0.012224205
124,"2-layer, baseline",0.01874999999999999,0.032265984,0.018920764
125,"2-layer, baseline",0.025000000000000022,0.041943718,0.025487922
126,"2-layer, baseline",0.03125,0.051608413,0.03193833
127,"2-layer, baseline",0.03750000000000003,0.061210647,0.03825441
128,"2-layer, baseline",0.04375000000000001,0.07073176,0.044458255
129,"2-layer, baseline",0.050000000000000044,0.08016515,0.050529987
130,"2-layer, baseline",0.05625000000000002,0.08950965,0.05647789
131,"2-layer, baseline",0.0625,0.098766655,0.062297333
132,"2-layer, baseline",0.06875000000000003,0.10793899,0.067995265
133,"2-layer, baseline",0.07500000000000001,0.11703012,0.07356198
134,"2-layer, baseline",0.08125000000000004,0.12604411,0.07901028
135,"2-layer, baseline",0.08750000000000002,0.13498509,0.084330514
136,"2-layer, baseline",0.09375,0.14385745,0.08952371
137,"2-layer, baseline",0.10000000000000003,0.1526655,0.09459367
138,"2-layer, baseline",0.10625000000000001,0.1614136,0.09953631
139,"2-layer, baseline",0.11250000000000004,0.17010623,0.10435474
140,"2-layer, baseline",0.11875000000000002,0.17874773,0.10904968
141,"2-layer, baseline",0.125,0.18734246,0.113619044
142,"2-layer, baseline",0.13125000000000003,0.19589493,0.118056394
143,"2-layer, baseline",0.1375,0.20440945,0.12236926
144,"2-layer, baseline",0.14375000000000004,0.2128906,0.12656033
145,"2-layer, baseline",0.15000000000000002,0.22134286,0.13062648
146,"2-layer, baseline",0.15625,0.22977087,0.1345627
147,"2-layer, baseline",0.16250000000000003,0.23817945,0.13837528
148,"2-layer, baseline",0.16875,0.24657342,0.14205748
149,"2-layer, baseline",0.17500000000000004,0.2549579,0.14561182
150,"2-layer, baseline",0.18125000000000002,0.2633384,0.14904249
151,"2-layer, baseline",0.1875,0.2717204,0.15234289
152,"2-layer, baseline",0.19375000000000003,0.28011015,0.1555086
153,"2-layer, baseline",0.2,0.28851393,0.1585527
154,"2-layer, baseline",0.20625000000000004,0.29693875,0.16146123
155,"2-layer, baseline",0.21250000000000002,0.30539227,0.16424489
156,"2-layer, baseline",0.21875,0.31388265,0.16688164
157,"2-layer, baseline",0.22500000000000003,0.322419,0.16939269
158,"2-layer, baseline",0.23125,0.3310113,0.1717638
159,"2-layer, baseline",0.23750000000000004,0.33967063,0.1739924
160,"2-layer, baseline",0.24375000000000002,0.34840935,0.17608005
161,"2-layer, baseline",0.25,0.3572412,0.17802504
162,"2-layer, EMA-only",-0.25,0.6970321,0.4008795
163,"2-layer, EMA-only",-0.24375,0.6701598,0.3902681
164,"2-layer, EMA-only",-0.2375,0.64396584,0.3795762
165,"2-layer, EMA-only",-0.23125,0.61844194,0.36881387
166,"2-layer, EMA-only",-0.225,0.5935767,0.35798988
167,"2-layer, EMA-only",-0.21875,0.5693558,0.34711885
168,"2-layer, EMA-only",-0.2125,0.5457636,0.33622795
169,"2-layer, EMA-only",-0.20625,0.5227828,0.3253134
170,"2-layer, EMA-only",-0.2,0.5003954,0.3143955
171,"2-layer, EMA-only",-0.19375,0.47858325,0.3034755
172,"2-layer, EMA-only",-0.1875,0.45732844,0.29257512
173,"2-layer, EMA-only",-0.18125,0.4366129,0.28169662
174,"2-layer, EMA-only",-0.175,0.41641936,0.2708587
175,"2-layer, EMA-only",-0.16875,0.396731,0.2600574
176,"2-layer, EMA-only",-0.16249999999999998,0.37753114,0.24930702
177,"2-layer, EMA-only",-0.15625,0.35880372,0.23861867
178,"2-layer, EMA-only",-0.15,0.340533,0.22799379
179,"2-layer, EMA-only",-0.14375,0.32270318,0.21743743
180,"2-layer, EMA-only",-0.1375,0.30529892,0.20695987
181,"2-layer, EMA-only",-0.13124999999999998,0.28830472,0.1965706
182,"2-layer, EMA-only",-0.125,0.27170515,0.18626848
183,"2-layer, EMA-only",-0.11875,0.2554848,0.17605986
184,"2-layer, EMA-only",-0.11249999999999999,0.2396284,0.16594857
185,"2-layer, EMA-only",-0.10624999999999998,0.22412056,0.15593478
186,"2-layer, EMA-only",-0.09999999999999998,0.2089465,0.14602546
187,"2-layer, EMA-only",-0.09375,0.19409141,0.13622993
188,"2-layer, EMA-only",-0.0875,0.17954098,0.1265426
189,"2-layer, EMA-only",-0.08124999999999999,0.1652813,0.1169619
190,"2-layer, EMA-only",-0.07499999999999998,0.15129922,0.10750783
191,"2-layer, EMA-only",-0.06874999999999998,0.13758236,0.09816621
192,"2-layer, EMA-only",-0.0625,0.12411916,0.08894684
193,"2-layer, EMA-only",-0.056249999999999994,0.110899575,0.079847455
194,"2-layer, EMA-only",-0.04999999999999999,0.097914785,0.070877455
195,"2-layer, EMA-only",-0.04374999999999998,0.085158706,0.062018774
196,"2-layer, EMA-only",-0.03749999999999998,0.07262916,0.053297404
197,"2-layer, EMA-only",-0.03125,0.06033116,0.04470313
198,"2-layer, EMA-only",-0.024999999999999994,0.04828468,0.036231007
199,"2-layer, EMA-only",-0.01874999999999999,0.036547717,0.027890135
200,"2-layer, EMA-only",-0.012499999999999983,0.025297396,0.019678216
201,"2-layer, EMA-only",-0.006249999999999978,0.015236445,0.011600992
202,"2-layer, EMA-only",0.0,0.010067197,0.0036582013
203,"2-layer, EMA-only",0.006250000000000033,0.015441181,0.0041762446
204,"2-layer, EMA-only",0.012500000000000011,0.025165223,0.011854978
205,"2-layer, EMA-only",0.01874999999999999,0.03574234,0.019406736
206,"2-layer, EMA-only",0.025000000000000022,0.04651262,0.026829053
207,"2-layer, EMA-only",0.03125,0.057305638,0.034121707
208,"2-layer, EMA-only",0.03750000000000003,0.06806277,0.041272167
209,"2-layer, EMA-only",0.04375000000000001,0.07876107,0.04830145
210,"2-layer, EMA-only",0.050000000000000044,0.089391485,0.05519312
211,"2-layer, EMA-only",0.05625000000000002,0.09995115,0.061951373
212,"2-layer, EMA-only",0.0625,0.1104403,0.06857927
213,"2-layer, EMA-only",0.06875000000000003,0.12086065,0.07507409
214,"2-layer, EMA-only",0.07500000000000001,0.13121489,0.081438035
215,"2-layer, EMA-only",0.08125000000000004,0.14150617,0.08767122
216,"2-layer, EMA-only",0.08750000000000002,0.15173763,0.09376807
217,"2-layer, EMA-only",0.09375,0.16191289,0.09973617
218,"2-layer, EMA-only",0.10000000000000003,0.17203528,0.10557662
219,"2-layer, EMA-only",0.10625000000000001,0.18210803,0.11128013
220,"2-layer, EMA-only",0.11250000000000004,0.19213451,0.116851255
221,"2-layer, EMA-only",0.11875000000000002,0.20211792,0.12229836
222,"2-layer, EMA-only",0.125,0.21206123,0.12760472
223,"2-layer, EMA-only",0.13125000000000003,0.22196749,0.13278393
224,"2-layer, EMA-only",0.1375,0.23183952,0.13783382
225,"2-layer, EMA-only",0.14375000000000004,0.24168007,0.14274846
226,"2-layer, EMA-only",0.15000000000000002,0.25149184,0.14753503
227,"2-layer, EMA-only",0.15625,0.26127753,0.15218759
228,"2-layer, EMA-only",0.16250000000000003,0.2710396,0.15670565
229,"2-layer, EMA-only",0.16875,0.2807808,0.16108857
230,"2-layer, EMA-only",0.17500000000000004,0.29050368,0.16534063
231,"2-layer, EMA-only",0.18125000000000002,0.30021077,0.16945937
232,"2-layer, EMA-only",0.1875,0.3099049,0.1734377
233,"2-layer, EMA-only",0.19375000000000003,0.3195889,0.17728418
234,"2-layer, EMA-only",0.2,0.3292657,0.18098837
235,"2-layer, EMA-only",0.20625000000000004,0.3389385,0.18455724
236,"2-layer, EMA-only",0.21250000000000002,0.3486107,0.18798935
237,"2-layer, EMA-only",0.21875,0.3582859,0.19127738
238,"2-layer, EMA-only",0.22500000000000003,0.36796826,0.19442326
239,"2-layer, EMA-only",0.23125,0.37766224,0.19742921
240,"2-layer, EMA-only",0.23750000000000004,0.38737255,0.20028603
241,"2-layer, EMA-only",0.24375000000000002,0.3971048,0.20299765
242,"2-layer, EMA-only",0.25,0.40686494,0.205553
243,"2-layer, AMSGrad-only",-0.25,0.74332064,0.362553
244,"2-layer, AMSGrad-only",-0.24375,0.7104222,0.35252357
245,"2-layer, AMSGrad-only",-0.2375,0.6791104,0.34241694
246,"2-layer, AMSGrad-only",-0.23125,0.6492458,0.33224636
247,"2-layer, AMSGrad-only",-0.225,0.620702,0.32202688
248,"2-layer, AMSGrad-only",-0.21875,0.593366,0.31177592
249,"2-layer, AMSGrad-only",-0.2125,0.5671368,0.30150086
250,"2-layer, AMSGrad-only",-0.20625,0.54192436,0.29121202
251,"2-layer, AMSGrad-only",-0.2,0.5176492,0.28092706
252,"2-layer, AMSGrad-only",-0.19375,0.49424025,0.27065393
253,"2-layer, AMSGrad-only",-0.1875,0.47163457,0.26041007
254,"2-layer, AMSGrad-only",-0.18125,0.4497763,0.25019744
255,"2-layer, AMSGrad-only",-0.175,0.42861545,0.24003176
256,"2-layer, AMSGrad-only",-0.16875,0.40810713,0.22992086
257,"2-layer, AMSGrad-only",-0.16249999999999998,0.388211,0.21987318
258,"2-layer, AMSGrad-only",-0.15625,0.36889023,0.2098958
259,"2-layer, AMSGrad-only",-0.15,0.3501114,0.20000306
260,"2-layer, AMSGrad-only",-0.14375,0.3318436,0.19019379
261,"2-layer, AMSGrad-only",-0.1375,0.3140583,0.18047595
262,"2-layer, AMSGrad-only",-0.13124999999999998,0.2967288,0.17086288
263,"2-layer, AMSGrad-only",-0.125,0.27983004,0.16135669
264,"2-layer, AMSGrad-only",-0.11875,0.2633381,0.15195855
265,"2-layer, AMSGrad-only",-0.11249999999999999,0.24723034,0.14268228
266,"2-layer, AMSGrad-only",-0.10624999999999998,0.23148523,0.13352379
267,"2-layer, AMSGrad-only",-0.09999999999999998,0.21608163,0.1244968
268,"2-layer, AMSGrad-only",-0.09375,0.20099932,0.11559578
269,"2-layer, AMSGrad-only",-0.0875,0.18621865,0.10683294
270,"2-layer, AMSGrad-only",-0.08124999999999999,0.17172024,0.09820771
