,name,explosion,model,num
61,2layer_yes_rescaling_yes_amsgrad_no_ema-02,3015,"2-layer, AMSGrad-only",2
62,2layer_yes_rescaling_yes_amsgrad_no_ema-03,2843,"2-layer, AMSGrad-only",3
63,2layer_yes_rescaling_yes_amsgrad_no_ema-04,1294,"2-layer, AMSGrad-only",4
64,2layer_yes_rescaling_yes_amsgrad_no_ema-05,1886,"2-layer, AMSGrad-only",5
65,2layer_yes_rescaling_yes_amsgrad_no_ema-06,2010,"2-layer, AMSGrad-only",6
66,2layer_yes_rescaling_yes_amsgrad_no_ema-07,2067,"2-layer, AMSGrad-only",7
67,2layer_yes_rescaling_yes_amsgrad_no_ema-08,1596,"2-layer, AMSGrad-only",8
68,2layer_yes_rescaling_yes_amsgrad_no_ema-09,6001,"2-layer, AMSGrad-only",9
69,2layer_yes_rescaling_yes_amsgrad_no_ema-10,1495,"2-layer, AMSGrad-only",10
70,2layer_yes_rescaling_yes_amsgrad_no_ema-11,3217,"2-layer, AMSGrad-only",11
71,2layer_yes_rescaling_yes_amsgrad_no_ema-12,1153,"2-layer, AMSGrad-only",12
72,2layer_yes_rescaling_yes_amsgrad_no_ema-13,3114,"2-layer, AMSGrad-only",13
73,2layer_yes_rescaling_yes_amsgrad_no_ema-14,1598,"2-layer, AMSGrad-only",14
74,2layer_yes_rescaling_yes_amsgrad_no_ema-15,1190,"2-layer, AMSGrad-only",15
75,2layer_yes_rescaling_yes_amsgrad_no_ema-16,1370,"2-layer, AMSGrad-only",16
76,2layer_yes_rescaling_yes_amsgrad_no_ema-17,1212,"2-layer, AMSGrad-only",17
77,2layer_yes_rescaling_yes_amsgrad_no_ema-18,1208,"2-layer, AMSGrad-only",18
78,2layer_yes_rescaling_yes_amsgrad_no_ema-19,1637,"2-layer, AMSGrad-only",19
79,2layer_yes_rescaling_yes_amsgrad_no_ema-20,2081,"2-layer, AMSGrad-only",20
80,2layer_yes_rescaling_yes_amsgrad_no_ema-21,1021,"2-layer, AMSGrad-only",21
81,2layer_yes_rescaling_yes_amsgrad_no_ema-22,4730,"2-layer, AMSGrad-only",22
82,2layer_yes_rescaling_yes_amsgrad_no_ema-23,1609,"2-layer, AMSGrad-only",23
83,2layer_yes_rescaling_yes_amsgrad_no_ema-24,2687,"2-layer, AMSGrad-only",24
84,2layer_yes_rescaling_yes_amsgrad_no_ema-25,1752,"2-layer, AMSGrad-only",25
85,2layer_yes_rescaling_yes_amsgrad_no_ema-26,2829,"2-layer, AMSGrad-only",26
86,2layer_yes_rescaling_yes_amsgrad_no_ema-27,2055,"2-layer, AMSGrad-only",27
87,2layer_yes_rescaling_yes_amsgrad_no_ema-28,4177,"2-layer, AMSGrad-only",28
88,2layer_yes_rescaling_yes_amsgrad_no_ema-29,2216,"2-layer, AMSGrad-only",29
89,2layer_yes_rescaling_yes_amsgrad_no_ema-30,2373,"2-layer, AMSGrad-only",30
90,5layer_yes_rescaling_no_amsgrad_no_ema-01,6001,"5-layer, baseline",1
91,5layer_yes_rescaling_no_amsgrad_no_ema-02,2249,"5-layer, baseline",2
92,5layer_yes_rescaling_no_amsgrad_no_ema-03,5062,"5-layer, baseline",3
93,5layer_yes_rescaling_no_amsgrad_no_ema-04,1877,"5-layer, baseline",4
94,5layer_yes_rescaling_no_amsgrad_no_ema-05,4287,"5-layer, baseline",5
95,5layer_yes_rescaling_no_amsgrad_no_ema-06,1629,"5-layer, baseline",6
96,5layer_yes_rescaling_no_amsgrad_no_ema-07,1468,"5-layer, baseline",7
97,5layer_yes_rescaling_no_amsgrad_no_ema-08,2791,"5-layer, baseline",8
98,5layer_yes_rescaling_no_amsgrad_no_ema-09,2283,"5-layer, baseline",9
99,5layer_yes_rescaling_no_amsgrad_no_ema-10,1708,"5-layer, baseline",10
100,5layer_yes_rescaling_no_amsgrad_no_ema-11,6001,"5-layer, baseline",11
101,5layer_yes_rescaling_no_amsgrad_no_ema-12,2591,"5-layer, baseline",12
102,5layer_yes_rescaling_no_amsgrad_no_ema-13,3285,"5-layer, baseline",13
103,5layer_yes_rescaling_no_amsgrad_no_ema-14,5158,"5-layer, baseline",14
104,5layer_yes_rescaling_no_amsgrad_no_ema-15,3492,"5-layer, baseline",15
105,5layer_yes_rescaling_no_amsgrad_no_ema-16,1988,"5-layer, baseline",16
106,5layer_yes_rescaling_no_amsgrad_no_ema-17,1468,"5-layer, baseline",17
107,5layer_yes_rescaling_no_amsgrad_no_ema-18,6001,"5-layer, baseline",18
108,5layer_yes_rescaling_no_amsgrad_no_ema-19,1998,"5-layer, baseline",19
109,5layer_yes_rescaling_no_amsgrad_no_ema-20,1819,"5-layer, baseline",20
110,5layer_yes_rescaling_no_amsgrad_no_ema-21,2725,"5-layer, baseline",21
111,5layer_yes_rescaling_no_amsgrad_no_ema-22,6001,"5-layer, baseline",22
112,5layer_yes_rescaling_no_amsgrad_no_ema-23,2760,"5-layer, baseline",23
113,5layer_yes_rescaling_no_amsgrad_no_ema-24,2504,"5-layer, baseline",24
114,5layer_yes_rescaling_no_amsgrad_no_ema-25,1469,"5-layer, baseline",25
115,5layer_yes_rescaling_no_amsgrad_no_ema-26,1795,"5-layer, baseline",26
116,5layer_yes_rescaling_no_amsgrad_no_ema-27,1761,"5-layer, baseline",27
117,5layer_yes_rescaling_no_amsgrad_no_ema-28,2248,"5-layer, baseline",28
118,5layer_yes_rescaling_no_amsgrad_no_ema-29,2872,"5-layer, baseline",29
119,5layer_yes_rescaling_no_amsgrad_no_ema-30,1671,"5-layer, baseline",30
120,5layer_yes_rescaling_no_amsgrad_yes_ema-01,3229,"5-layer, EMA-only",1
121,5layer_yes_rescaling_no_amsgrad_yes_ema-02,3895,"5-layer, EMA-only",2
122,5layer_yes_rescaling_no_amsgrad_yes_ema-03,2109,"5-layer, EMA-only",3
123,5layer_yes_rescaling_no_amsgrad_yes_ema-04,4713,"5-layer, EMA-only",4
124,5layer_yes_rescaling_no_amsgrad_yes_ema-05,2475,"5-layer, EMA-only",5
125,5layer_yes_rescaling_no_amsgrad_yes_ema-06,2075,"5-layer, EMA-only",6
